DayType,Hour,Decrease,Increase,No Change
Workday,0,76.33587786259542,22.900763358778626,0.7633587786259541
Workday,1,56.87022900763359,43.12977099236641,0.0
Workday,2,43.89312977099237,55.72519083969466,0.38167938931297707
Workday,3,43.12977099236641,55.72519083969466,1.1450381679389312
Workday,4,45.41984732824427,53.81679389312977,0.7633587786259541
Workday,5,50.76335877862596,48.854961832061065,0.38167938931297707
Workday,6,27.86259541984733,72.13740458015268,0.0
Workday,7,29.00763358778626,70.99236641221374,0.0
Workday,8,30.15267175572519,69.46564885496184,0.38167938931297707
Workday,9,30.916030534351147,69.08396946564885,0.0
Workday,10,33.587786259541986,66.41221374045801,0.0
Workday,11,35.11450381679389,64.50381679389314,0.38167938931297707
Workday,12,41.603053435114504,58.396946564885496,0.0
Workday,13,51.14503816793893,48.854961832061065,0.0
Workday,14,62.59541984732825,37.02290076335878,0.38167938931297707
Workday,15,53.43511450381679,46.56488549618321,0.0
Workday,16,51.908396946564885,48.091603053435115,0.0
Workday,17,48.473282442748086,51.526717557251914,0.0
Workday,18,47.32824427480916,52.29007633587786,0.38167938931297707
Workday,19,56.10687022900763,43.89312977099237,0.0
Workday,20,61.06870229007634,38.93129770992366,0.0
Workday,21,63.358778625954194,36.6412213740458,0.0
Workday,22,56.48854961832062,43.51145038167939,0.0
Workday,23,66.41221374045801,33.587786259541986,0.0
Weekend,0,72.11538461538461,27.884615384615387,0.0
Weekend,1,52.88461538461539,47.11538461538461,0.0
Weekend,2,50.0,48.07692307692308,1.9230769230769231
Weekend,3,35.57692307692308,62.5,1.9230769230769231
Weekend,4,34.61538461538461,64.42307692307693,0.9615384615384616
Weekend,5,55.769230769230774,43.269230769230774,0.9615384615384616
Weekend,6,41.34615384615385,58.65384615384615,0.0
Weekend,7,38.46153846153847,61.53846153846154,0.0
Weekend,8,28.846153846153843,71.15384615384616,0.0
Weekend,9,34.61538461538461,65.38461538461539,0.0
Weekend,10,45.19230769230769,54.807692307692314,0.0
Weekend,11,34.61538461538461,65.38461538461539,0.0
Weekend,12,36.53846153846153,62.5,0.9615384615384616
Weekend,13,50.0,50.0,0.0
Weekend,14,54.807692307692314,45.19230769230769,0.0
Weekend,15,57.692307692307686,42.30769230769231,0.0
Weekend,16,53.84615384615385,46.15384615384615,0.0
Weekend,17,51.92307692307693,48.07692307692308,0.0
Weekend,18,44.230769230769226,55.769230769230774,0.0
Weekend,19,45.19230769230769,54.807692307692314,0.0
Weekend,20,60.57692307692307,39.42307692307692,0.0
Weekend,21,56.730769230769226,43.269230769230774,0.0
Weekend,22,62.5,37.5,0.0
Weekend,23,69.23076923076923,30.76923076923077,0.0
