DayType,Hour,Minute,Decrease,Increase,No Change
Workday,0,0,85.87786259541986,1.5267175572519083,12.595419847328243
Workday,0,15,84.7328244274809,1.9083969465648856,13.358778625954198
Workday,0,30,22.137404580152673,64.12213740458014,13.740458015267176
Workday,0,45,75.19083969465649,9.541984732824428,15.267175572519085
Workday,1,0,72.90076335877863,12.213740458015266,14.885496183206106
Workday,1,15,74.80916030534351,11.450381679389313,13.740458015267176
Workday,1,30,28.24427480916031,56.87022900763359,14.885496183206106
Workday,1,45,75.57251908396947,8.778625954198473,15.648854961832063
Workday,2,0,66.41221374045801,17.938931297709924,15.648854961832063
Workday,2,15,79.38931297709924,4.961832061068702,15.648854961832063
Workday,2,30,28.24427480916031,54.19847328244275,17.557251908396946
Workday,2,45,79.38931297709924,5.343511450381679,15.267175572519085
Workday,3,0,79.38931297709924,4.580152671755725,16.030534351145036
Workday,3,15,81.29770992366412,3.816793893129771,14.885496183206106
Workday,3,30,29.389312977099237,53.43511450381679,17.17557251908397
Workday,3,45,51.526717557251914,31.297709923664126,17.17557251908397
Workday,4,0,61.06870229007634,22.137404580152673,16.793893129770993
Workday,4,15,60.68702290076335,24.045801526717558,15.267175572519085
Workday,4,30,47.70992366412214,36.6412213740458,15.648854961832063
Workday,4,45,16.030534351145036,69.46564885496184,14.50381679389313
Workday,5,0,50.76335877862596,35.49618320610687,13.740458015267176
Workday,5,15,18.702290076335878,69.46564885496184,11.83206106870229
Workday,5,30,42.36641221374045,47.70992366412214,9.923664122137405
Workday,5,45,3.0534351145038165,87.78625954198473,9.16030534351145
Workday,6,0,45.41984732824427,50.0,4.580152671755725
Workday,6,15,3.0534351145038165,93.51145038167938,3.435114503816794
Workday,6,30,50.76335877862596,46.56488549618321,2.6717557251908395
Workday,6,45,3.435114503816794,93.89312977099237,2.6717557251908395
Workday,7,0,37.404580152671755,59.92366412213741,2.6717557251908395
Workday,7,15,1.9083969465648856,95.41984732824427,2.6717557251908395
Workday,7,30,42.74809160305343,54.961832061068705,2.2900763358778624
Workday,7,45,29.770992366412212,67.93893129770993,2.2900763358778624
Workday,8,0,19.083969465648856,77.48091603053436,3.435114503816794
Workday,8,15,44.274809160305345,51.908396946564885,3.816793893129771
Workday,8,30,41.603053435114504,53.43511450381679,4.961832061068702
Workday,8,45,59.16030534351145,35.49618320610687,5.343511450381679
Workday,9,0,28.24427480916031,65.2671755725191,6.488549618320611
Workday,9,15,61.06870229007634,32.06106870229007,6.870229007633588
Workday,9,30,49.61832061068702,44.274809160305345,6.106870229007633
Workday,9,45,80.53435114503816,12.595419847328243,6.870229007633588
Workday,10,0,42.74809160305343,50.38167938931297,6.870229007633588
Workday,10,15,86.64122137404581,7.251908396946565,6.106870229007633
Workday,10,30,30.916030534351147,63.358778625954194,5.7251908396946565
Workday,10,45,89.69465648854961,5.7251908396946565,4.580152671755725
Workday,11,0,67.17557251908397,28.24427480916031,4.580152671755725
Workday,11,15,88.54961832061069,7.251908396946565,4.198473282442748
Workday,11,30,46.18320610687023,50.76335877862596,3.0534351145038165
Workday,11,45,87.02290076335878,10.305343511450381,2.6717557251908395
Workday,12,0,83.58778625954199,12.213740458015266,4.198473282442748
Workday,12,15,79.77099236641222,16.793893129770993,3.435114503816794
Workday,12,30,25.954198473282442,70.61068702290076,3.435114503816794
Workday,12,45,78.62595419847328,17.938931297709924,3.435114503816794
Workday,13,0,69.46564885496184,27.099236641221374,3.435114503816794
Workday,13,15,75.57251908396947,20.99236641221374,3.435114503816794
Workday,13,30,30.916030534351147,66.79389312977099,2.2900763358778624
Workday,13,45,54.19847328244275,43.51145038167939,2.2900763358778624
Workday,14,0,61.06870229007634,36.25954198473282,2.6717557251908395
Workday,14,15,58.396946564885496,38.16793893129771,3.435114503816794
Workday,14,30,49.23664122137404,48.091603053435115,2.6717557251908395
Workday,14,45,21.374045801526716,76.33587786259542,2.2900763358778624
Workday,15,0,54.19847328244275,42.36641221374045,3.435114503816794
Workday,15,15,19.84732824427481,76.33587786259542,3.816793893129771
Workday,15,30,51.14503816793893,45.41984732824427,3.435114503816794
Workday,15,45,6.106870229007633,90.45801526717557,3.435114503816794
Workday,16,0,41.98473282442748,54.19847328244275,3.816793893129771
Workday,16,15,10.305343511450381,84.7328244274809,4.961832061068702
Workday,16,30,45.80152671755725,47.70992366412214,6.488549618320611
Workday,16,45,6.106870229007633,87.40458015267176,6.488549618320611
Workday,17,0,33.20610687022901,58.01526717557252,8.778625954198473
Workday,17,15,6.488549618320611,83.20610687022901,10.305343511450381
Workday,17,30,48.473282442748086,41.221374045801525,10.305343511450381
Workday,17,45,6.488549618320611,83.20610687022901,10.305343511450381
